,Hotel,Ubicacion,Direccion,Estrellas,Longitud,Latitud
1,Hotel Hilton Garden Inn Cusco,"Cusco a 0,38 km del centro","Av. Abancay 207, Santa Ana, Cusco 00000, Cusco (Peru)",4,-71.98454,-13.51504
2,Hotel Casa Cartagena,"Cusco a 0,23 km del centro","Calle Pumacurco 336, Cusco Centro His, Cusco (Peru)",5,-71.93993,-13.53219
3,Hostal Principe III,"Cusco a 0,85 km del centro","Av. Huascar 222, Cusco , Cusco (Peru)",3,-71.97202,-13.5228
4,Hotel Royal Inka I,"Cusco a 0,11 km del centro","Plaza Regocijo 299, Cusco N/A, Cusco (Peru)",4,-71.9802,-13.51714
5,Hotel Eco Inn Cusco,"Cusco a 0,73 km del centro","Av. El Sol 1010, Cusco 00000, Cusco (Peru)",-1,-71.97264,-13.52495
6,Hostal Cedros,"Cusco a 1,01 km del centro","Av. Pachacutec 419, Cusco Cusc 01, Cusco (Peru)",-1,-71.9708,-13.52438
7,Sumac Tika Hostal,"Cusco a 2,42 km del centro","Urb. Marcavalle C-13, Cusco , Cusco (Peru)",-1,-71.94651,-13.53053
8,Hostal Hitchhikers Cusco Hostel,"Cusco a 0,22 km del centro","Calle Saphi 440, Cusco Cusc01, Cusco (Peru)",2,-71.98114,-13.51502
9,Hotel La Casa De Mayte,"Cusco a 0,3 km del centro","C/ Recoleta Angosta 559, Cusco , Cusco (Peru)",-1,-71.9741,-13.5168
10,La Posada Del Viajero,"Cusco a 0,15 km del centro","Santa Catalina Ancha 366, Cusco 084, Cusco (Peru)",3,-71.97653,-13.51701
11,Hotel Tierra Viva Cusco Centro,"Cusco a 0,47 km del centro","Callle Cruz Verde 390, Cusco Cusco01, Cusco (Peru)",-1,-71.98059,-13.52071
12,Posada Andean South Inn,"Cusco a 0,37 km del centro","Tandapata, 635 - San Blas, Cusco 051, Cusco (Peru)",5,-71.97584,-13.51279
13,Aranwa Cusco Boutique Hotel,"Cusco a 0,15 km del centro","San Juan de Dios 255, Cusco 00045, Cusco (Peru)",3,-71.98124,-13.51697
14,Hotel Apart R House Cusco,"Cusco a 0,78 km del centro","Tupac Yupanqui 280, Urbanización Tahuantinsuyo, Cusco 08000, Cusco (Peru)",-1,-71.96826,-13.5159
15,Hotel Casa Andina Premium Cusco,"Cusco a 0,47 km del centro","Plazoleta Limacpampa Chico, 473, Cusco Cusco, Cusco (Peru)",3,-71.97709,-13.51515
16,Munay Wasi Inn Hotel,"Cusco a 0,36 km del centro","Av Tullumayu 418, Cusco 0000, Cusco (Peru)",-1,-71.97382,-13.51944
